date,buffer_distance,lake,sediment
2017-01-27,50,Lake Hoare,0.9895716780960574
2017-01-30,50,Lake Hoare,0.9798376040253632
2017-11-07,50,Lake Hoare,0.6704567934173193
2017-11-18,50,Lake Hoare,0.9999999999999999
2017-11-21,50,Lake Hoare,0.9999999999999998
2017-11-25,50,Lake Hoare,0.9999999999999999
2017-11-27,50,Lake Hoare,0.9999999999999997
2017-11-30,50,Lake Hoare,0.9999999999999997
2017-12-02,50,Lake Hoare,0.9999999999999999
2017-12-07,50,Lake Hoare,0.9999999999999989
2017-12-16,50,Lake Hoare,0.9999999999999993
2017-12-23,50,Lake Hoare,1
2018-01-03,50,Lake Hoare,0.9999999999999997
2018-01-05,50,Lake Hoare,0.9999999999999999
2018-01-10,50,Lake Hoare,0.9909043462241159
2018-01-12,50,Lake Hoare,0.9964370644641919
2018-01-14,50,Lake Hoare,0.9986483900425851
2018-01-19,50,Lake Hoare,0.9967974677312018
2018-01-26,50,Lake Hoare,0.8794123511776974
2018-01-30,50,Lake Hoare,0.875071174298218
2018-11-05,50,Lake Hoare,0.4983963327988233
2018-11-08,50,Lake Hoare,0.6208303950099756
2018-11-12,50,Lake Hoare,0.9911700404925657
2018-11-17,50,Lake Hoare,0.9867850245635554
2018-11-19,50,Lake Hoare,0.7474021547077812
2018-11-24,50,Lake Hoare,0.771535919199544
2018-11-26,50,Lake Hoare,0.7038513538596518
2018-11-28,50,Lake Hoare,0.6963869142047748
2018-11-30,50,Lake Hoare,0.7117504783692754
2018-12-05,50,Lake Hoare,0.9989405078653861
2018-12-30,50,Lake Hoare,0.7779355044916888
2019-01-01,50,Lake Hoare,0.8666624678660892
2019-01-04,50,Lake Hoare,0.8433239416825233
2019-01-06,50,Lake Hoare,0.8358695761953253
2019-01-11,50,Lake Hoare,0.6891103551078889
2019-01-15,50,Lake Hoare,0.8112087376262853
2019-01-24,50,Lake Hoare,0.8105416126299405
2019-11-06,50,Lake Hoare,0.3900753042732038
2019-11-08,50,Lake Hoare,0.4210522285672241
2019-11-11,50,Lake Hoare,0.4246014143430804
2019-11-15,50,Lake Hoare,0.7195488245704369
2019-11-17,50,Lake Hoare,0.6951087712263723
2019-11-24,50,Lake Hoare,0.38666510446126406
2019-11-27,50,Lake Hoare,0.5898269687754325
2019-12-03,50,Lake Hoare,0.5958611292910926
2019-12-17,50,Lake Hoare,0.8004114443759602
2019-12-24,50,Lake Hoare,0.6515866490009175
2019-12-26,50,Lake Hoare,0.6560651237525221
2019-12-31,50,Lake Hoare,0.5004561222929751
2020-01-02,50,Lake Hoare,0.5169529044200907
2020-01-11,50,Lake Hoare,0.6121391517333858
2020-01-20,50,Lake Hoare,0.5544665762458653
2020-10-30,50,Lake Hoare,0.9746002144398251
2020-11-15,50,Lake Hoare,0.9265341266648621
2020-11-17,50,Lake Hoare,0.9133189052368363
2020-11-19,50,Lake Hoare,0.9027009579695934
2020-11-24,50,Lake Hoare,0.90004587586013
2020-11-26,50,Lake Hoare,0.8623285478795774
2020-11-29,50,Lake Hoare,0.7764102833857056
2020-12-01,50,Lake Hoare,0.7200491496285493
2020-12-03,50,Lake Hoare,0.7377804998627657
2020-12-08,50,Lake Hoare,0.7678244505195033
